id,created_at,text,tweetlink,created_at_date,reason,train_line,blame
869707161642782721,2017-05-30 20:08:40,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already en-route.,https://twitter.com/NJTRANSIT_RVL/status/869707161642782721,2017-05-30 20:08:40,,RVL,
869610601156423680,2017-05-30 13:44:58,"RVL train #5176, the 1:28pm from Cranford is  up to 20 min. late, due to track maintenance and a late train ahead.",https://twitter.com/NJTRANSIT_RVL/status/869610601156423680,2017-05-30 13:44:58,due to track maintenance and a late train ahead,RVL,NJT late train
869555488987516930,2017-05-30 10:05:58,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already enroute.,https://twitter.com/NJTRANSIT_RVL/status/869555488987516930,2017-05-30 10:05:58,,RVL,
869535347184721921,2017-05-30 08:45:56,(1 of 2) Trains in/out of PSNY is subject to up to 30 minute delays due to congestion caused by,https://twitter.com/NJTRANSIT_RVL/status/869535347184721921,2017-05-30 08:45:56,due to congestion caused by,RVL,NJT late train
869524519790280704,2017-05-30 08:02:55,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/869524519790280704,2017-05-30 08:02:55,due to congestion caused by the sp,RVL,NJT late train
868558439299076098,2017-05-27 16:04:03,"RVL train #5527, the 3:47pm from Union is up to 15 min. late, due to late connection.",https://twitter.com/NJTRANSIT_RVL/status/868558439299076098,2017-05-27 16:04:03,due to late connection,RVL,NJT late train
868198863563313152,2017-05-26 16:15:14,"RVL train #5179, the 4:02pm from North Branch is up to 15 min. late due to a signal problem.",https://twitter.com/NJTRANSIT_RVL/status/868198863563313152,2017-05-26 16:15:14,due to a signal problem,RVL,NJT signal problem
868165509312897024,2017-05-26 14:02:41,"RVL train #5175, the 1:51pm from Bound Brook, is up to 15 min. late due to earlier congestion ahead.",https://twitter.com/NJTRANSIT_RVL/status/868165509312897024,2017-05-26 14:02:41,due to earlier congestion ahead,RVL,NJT late train
868145128019546113,2017-05-26 12:41:42,"RVL train #5123, the 12:29pm from Westfield is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/868145128019546113,2017-05-26 12:41:42,due to track maintenance,RVL,
867796499165478912,2017-05-25 13:36:22,RVL train #5176 the 1:24pm from Garwood Station is up to 15 min. late due to track maintenance.,https://twitter.com/NJTRANSIT_RVL/status/867796499165478912,2017-05-25 13:36:22,due to track maintenance,RVL,
867782004129116161,2017-05-25 12:38:47,"RVL train #5123, the 12:25pm from Cranford is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/867782004129116161,2017-05-25 12:38:47,due to track maintenance,RVL,
867774221493121025,2017-05-25 12:07:51,"RVL train #5132, the 11:59am from Secaucus is up to 10 min. late due to a late train ahead.",https://twitter.com/NJTRANSIT_RVL/status/867774221493121025,2017-05-25 12:07:51,due to a late train ahead,RVL,NJT late train
867759465629659136,2017-05-25 11:09:13,"RVL train #5170, the 10:57am from Secaucus is up to 10 min. late due to operational issues.",https://twitter.com/NJTRANSIT_RVL/status/867759465629659136,2017-05-25 11:09:13,due to operational issues,RVL,NJT operational issues
867734681604812800,2017-05-25 09:30:44,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already enroute.,https://twitter.com/NJTRANSIT_RVL/status/867734681604812800,2017-05-25 09:30:44,,RVL,
867720114468249604,2017-05-25 08:32:51,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/867720114468249604,2017-05-25 08:32:51,due to congestion caused by the sp,RVL,NJT late train
867486226751868928,2017-05-24 17:03:28,Train service in/out of PSNY is subject to up to 30 min. delays due to congestion caused by the spee... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/867486226751868928,2017-05-24 17:03:28,due to congestion caused by the spee,RVL,Amtrak speed limit
867435739679793152,2017-05-24 13:42:51,"RVL train #5176, the 1:28pm from Cranford is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/867435739679793152,2017-05-24 13:42:51,due to track maintenance,RVL,
867406025019846656,2017-05-24 11:44:46,RVL train #5132 the 11:28am from Cranford is up to 15 min. late due to track maintenance.,https://twitter.com/NJTRANSIT_RVL/status/867406025019846656,2017-05-24 11:44:46,due to track maintenance,RVL,
867404781849116672,2017-05-24 11:39:50,RVL train #5121 the 11:27am from Westfield is up to 10 min. late due to track maintenance.,https://twitter.com/NJTRANSIT_RVL/status/867404781849116672,2017-05-24 11:39:50,due to track maintenance,RVL,
867108012221243392,2017-05-23 16:00:34,"Train Service in/out of PSNY is subject up to 15 min. delays, due to congestion caused by the speed ... https://t.co/xLShO9aIcS",https://twitter.com/NJTRANSIT_RVL/status/867108012221243392,2017-05-23 16:00:34,due to congestion caused by the speed ,RVL,Amtrak speed limit
867073772792229889,2017-05-23 13:44:31,"RVL train #5175, the 1:29pm from Westfield, is up to 10 min. late due to programmed track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/867073772792229889,2017-05-23 13:44:31,due to programmed track maintenance,RVL,
866994178756153345,2017-05-23 08:28:14,"(1 of 2) Train Service in/out of PSNY is subject up to 30 minute delays, earlier than usual, due to congestion",https://twitter.com/NJTRANSIT_RVL/status/866994178756153345,2017-05-23 08:28:14,due to congestion,RVL,NJT late train
866977596852113408,2017-05-23 07:22:21,"(2 of 2) As a result, more of NJT trains to/from PSNY will experience delays during morning peak.",https://twitter.com/NJTRANSIT_RVL/status/866977596852113408,2017-05-23 07:22:21,,RVL,
866807937288859649,2017-05-22 20:08:11,Train service in/out of PSNY is now operating on or close schedule with residual delays to trains already en-route.,https://twitter.com/NJTRANSIT_RVL/status/866807937288859649,2017-05-22 20:08:11,,RVL,
866654608738979844,2017-05-22 09:58:55,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already enroute.,https://twitter.com/NJTRANSIT_RVL/status/866654608738979844,2017-05-22 09:58:55,,RVL,
866632870219198464,2017-05-22 08:32:32,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/866632870219198464,2017-05-22 08:32:32,due to congestion caused by the sp,RVL,NJT late train
865725514308349953,2017-05-19 20:27:01,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already en-route.,https://twitter.com/NJTRANSIT_RVL/status/865725514308349953,2017-05-19 20:27:01,,RVL,
865562730819923968,2017-05-19 09:40:11,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already enroute.,https://twitter.com/NJTRANSIT_RVL/status/865562730819923968,2017-05-19 09:40:11,,RVL,
865545463499341824,2017-05-19 08:31:34,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/xLShO9sj4q,https://twitter.com/NJTRANSIT_RVL/status/865545463499341824,2017-05-19 08:31:34,due to congestion caused by the sp,RVL,NJT late train
865327338246074368,2017-05-18 18:04:49,RVL train #5733 the 5:45pm from Raritan is CANCELLED due to a mechanical problem. Customers to train #5737 the 6:21pm from Raritan.,https://twitter.com/NJTRANSIT_RVL/status/865327338246074368,2017-05-18 18:04:49,due to a mechanical problem,RVL,NJT mechanical problem
865320381653151745,2017-05-18 17:37:10,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/865320381653151745,2017-05-18 17:37:10,due to congestion caused by the sp,RVL,NJT late train
865255450551488512,2017-05-18 13:19:09,"RVL train #5175, the 1:08pm from NPS is up to 20 min. late due to a switch problem near Secaucus.",https://twitter.com/NJTRANSIT_RVL/status/865255450551488512,2017-05-18 13:19:09,due to a switch problem near Secaucus,RVL,NJT switch problem
865011989717942273,2017-05-17 21:11:44,RVL train #5451 the 8:57pm from Newark is up to 15 min. late due to police assistance.,https://twitter.com/NJTRANSIT_RVL/status/865011989717942273,2017-05-17 21:11:44,due to police assistance,RVL,Police/Fire activity
864953357059993600,2017-05-17 17:18:45,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/864953357059993600,2017-05-17 17:18:45,due to congestion caused by the sp,RVL,NJT late train
864942270994415616,2017-05-17 16:34:41,RVL train #5742 the 4:19pm from Union is up to 15 min. late due to an earlier switch problem.,https://twitter.com/NJTRANSIT_RVL/status/864942270994415616,2017-05-17 16:34:41,due to an earlier switch problem,RVL,NJT switch problem
864891360263929856,2017-05-17 13:12:23,"RVL train #5175, the 12:49pm from NYPS is up to 15 min late due to operational issues.",https://twitter.com/NJTRANSIT_RVL/status/864891360263929856,2017-05-17 13:12:23,due to operational issues,RVL,NJT operational issues
864880313574588416,2017-05-17 12:28:30,Trains in and out of PSNY are subject to up to 30 minute delays due to an Amtrak switch problem near... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/864880313574588416,2017-05-17 12:28:30,due to an Amtrak switch problem near,RVL,NJT switch problem
864876422673948672,2017-05-17 12:13:02,"RVL train #5123, the 11:58am from Secaucus is up to 20 min. delay due to a switch problem.",https://twitter.com/NJTRANSIT_RVL/status/864876422673948672,2017-05-17 12:13:02,due to a switch problem,RVL,NJT switch problem
864873432642703360,2017-05-17 12:01:09,"RVL train #5121, the 11:43am from Dunellen is up to 15 min. late due to a late connection.",https://twitter.com/NJTRANSIT_RVL/status/864873432642703360,2017-05-17 12:01:09,due to a late connection,RVL,NJT late train
864841895381520384,2017-05-17 09:55:50,"1 of 2 :RVL train #5121, the 10:44am from NYPS is CANCELLED out of NYPS today only  05/17/2017.",https://twitter.com/NJTRANSIT_RVL/status/864841895381520384,2017-05-17 09:55:50,,RVL,
864654481472057345,2017-05-16 21:31:07,Train service in/out of PSNY is still  subject to up to 30 minute delays due to congestion caused by... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/864654481472057345,2017-05-16 21:31:07,due to congestion caused by,RVL,NJT late train
864567626558832642,2017-05-16 15:45:59,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/864567626558832642,2017-05-16 15:45:59,due to congestion caused by the sp,RVL,NJT late train
